name,price
Asus VivoBook...,$295.99
Prestigio Smar...,$299
Prestigio Smar...,$299
Aspire E1-510,$306.99
Lenovo V110-15...,$321.94
Lenovo V110-15...,$356.49
Hewlett Packar...,$364.46
Acer Aspire 3...,$372.7
Acer Aspire A3...,$379.94
Acer Aspire ES...,$379.95
Acer Aspire 3...,$391.48
Acer Aspire 3...,$393.88
Asus VivoBook...,$399
Asus VivoBook...,$399.99
Lenovo ThinkPa...,$404.23
Acer Aspire 3...,$408.98
Lenovo V110-15...,$409.63
Acer Aspire ES...,$410.46
Asus VivoBook...,$410.66
Packard 255 G2,$416.99
Asus EeeBook R...,$433.3
Acer Aspire 3...,$436.29
Acer Aspire ES...,$436.29
Acer Extensa 1...,$439.73
Acer Aspire ES...,$454.62
Lenovo V110-15...,$454.73
Acer Aspire A3...,$457.38
Lenovo V110-15...,$465.95
Asus VivoBook...,$468.56
Acer Aspire ES...,$469.1
Lenovo V510 Bl...,$484.23
Acer Aspire ES...,$485.9
Lenovo V510 Bl...,$487.8
Acer Swift 1 S...,$488.64
Dell Vostro 15,$488.78
Acer Aspire 3...,$494.71
Dell Vostro 15...,$497.17
Lenovo V510 Bl...,$498.23
HP 250 G3,$520.99
Acer Spin 5,$564.98
HP 350 G1,$577.99
Aspire E1-572G,$581.99
Pavilion,$609.99
Acer Aspire A5...,$679
Dell Inspiron...,$679
Asus VivoBook...,$729
ProBook,$739.99
Inspiron 15,$745.99
Asus ROG STRIX...,$799
Acer Nitro 5 A...,$809
Asus ROG STRIX...,$899
Lenovo ThinkPa...,$999
ThinkPad Yoga,$1033.99
Lenovo ThinkPa...,$1096.02
Dell Inspiron...,$1098.42
MSI GL72M 7RDX,$1099
MSI GL72M 7RDX,$1099
Asus ROG Strix...,$1101.83
Dell Latitude...,$1102.66
Dell Latitude...,$1110.14
Lenovo Legion...,$1112.91
Toshiba Porteg...,$1114.55
Acer Predator...,$1123.87
Acer Aspire 7...,$1123.87
Dell Inspiron...,$1124.2
Dell Latitude...,$1133.82
Lenovo Legion...,$1133.91
Asus AsusPro A...,$1139.54
Acer Nitro 5 A...,$1140.62
Dell Latitude...,$1143.4
Dell Inspiron...,$1144.2
Dell Latitude...,$1144.4
Lenovo Legion...,$1149
MSI GP62M 7RDX...,$1149
Lenovo Yoga 72...,$1149.73
Toshiba Porteg...,$1154.04
Acer TravelMat...,$1170.1
Dell Latitude...,$1178.19
ThinkPad T540p,$1178.99
MSI GS63 7RD S...,$1179
Dell Latitude...,$1187.88
Acer Predator...,$1187.98
MSI GL62M 7REX,$1199
MSI GL62M 7REX...,$1199
Lenovo Yoga 91...,$1199.73
Toshiba Porteg...,$1203.41
Lenovo IdeaPad...,$1212.16
Acer Predator...,$1221.58
ThinkPad Yoga,$1223.99
Asus VivoBook...,$1235.49
Dell Latitude...,$1238.37
Asus ZenBook U...,$1239.2
ThinkPad X230,$1244.99
Asus ROG Strix...,$1259
Apple MacBook...,$1260.13
Dell Latitude...,$1271.06
Hewlett Packar...,$1273.11
Dell XPS 13,$1281.99
Toshiba Porteg...,$1294.74
MSI GL62VR 7RF...,$1299
Dell Latitude...,$1310.39
ThinkPad X240,$1311.99
Hewlett Packar...,$1326.83
Apple MacBook...,$1333
Dell Latitude...,$1337.28
Dell Latitude...,$1338.37
Dell Latitude...,$1341.22
Apple MacBook...,$1347.78
Lenovo ThinkPa...,$1349.23
Lenovo ThinkPa...,$1362.24
Toshiba Porteg...,$1366.32
Asus ASUSPRO B...,$1381.13
Lenovo Legion...,$1399
Asus ROG Strix...,$1399
Asus ROG Strix...,$1769
Asus ROG Strix...,$1769
Asus ROG Strix...,$1799
Asus VivoBook...,$295.99
Prestigio Smar...,$299
Prestigio Smar...,$299
Aspire E1-510,$306.99
Lenovo V110-15...,$321.94
Lenovo V110-15...,$356.49
Hewlett Packar...,$364.46
Acer Aspire 3...,$372.7
Acer Aspire A3...,$379.94
Acer Aspire ES...,$379.95
Acer Aspire 3...,$391.48
Acer Aspire 3...,$393.88
Asus VivoBook...,$399
Asus VivoBook...,$399.99
Lenovo ThinkPa...,$404.23
Acer Aspire 3...,$408.98
Lenovo V110-15...,$409.63
Acer Aspire ES...,$410.46
Asus VivoBook...,$410.66
Packard 255 G2,$416.99
Asus EeeBook R...,$433.3
Acer Aspire 3...,$436.29
Acer Aspire ES...,$436.29
Acer Extensa 1...,$439.73
Acer Aspire ES...,$454.62
Lenovo V110-15...,$454.73
Acer Aspire A3...,$457.38
Lenovo V110-15...,$465.95
Asus VivoBook...,$468.56
Acer Aspire ES...,$469.1
Lenovo V510 Bl...,$484.23
Acer Aspire ES...,$485.9
Lenovo V510 Bl...,$487.8
Acer Swift 1 S...,$488.64
Dell Vostro 15,$488.78
Acer Aspire 3...,$494.71
Dell Vostro 15...,$497.17
Lenovo V510 Bl...,$498.23
HP 250 G3,$520.99
Acer Spin 5,$564.98
HP 350 G1,$577.99
Aspire E1-572G,$581.99
Pavilion,$609.99
Acer Aspire A5...,$679
Dell Inspiron...,$679
Asus VivoBook...,$729
ProBook,$739.99
Inspiron 15,$745.99
Asus ROG STRIX...,$799
Acer Nitro 5 A...,$809
Asus ROG STRIX...,$899
Lenovo ThinkPa...,$999
ThinkPad Yoga,$1033.99
Lenovo ThinkPa...,$1096.02
Dell Inspiron...,$1098.42
MSI GL72M 7RDX,$1099
MSI GL72M 7RDX,$1099
Asus ROG Strix...,$1101.83
Dell Latitude...,$1102.66
Dell Latitude...,$1110.14
Lenovo Legion...,$1112.91
Toshiba Porteg...,$1114.55
Acer Predator...,$1123.87
Acer Aspire 7...,$1123.87
Dell Inspiron...,$1124.2
Dell Latitude...,$1133.82
Lenovo Legion...,$1133.91
Asus AsusPro A...,$1139.54
Acer Nitro 5 A...,$1140.62
Dell Latitude...,$1143.4
Dell Inspiron...,$1144.2
Dell Latitude...,$1144.4
Lenovo Legion...,$1149
MSI GP62M 7RDX...,$1149
Lenovo Yoga 72...,$1149.73
Toshiba Porteg...,$1154.04
Acer TravelMat...,$1170.1
Dell Latitude...,$1178.19
ThinkPad T540p,$1178.99
MSI GS63 7RD S...,$1179
Dell Latitude...,$1187.88
Acer Predator...,$1187.98
MSI GL62M 7REX,$1199
MSI GL62M 7REX...,$1199
Lenovo Yoga 91...,$1199.73
Toshiba Porteg...,$1203.41
Lenovo IdeaPad...,$1212.16
Acer Predator...,$1221.58
ThinkPad Yoga,$1223.99
Asus VivoBook...,$1235.49
Dell Latitude...,$1238.37
Asus ZenBook U...,$1239.2
ThinkPad X230,$1244.99
Asus ROG Strix...,$1259
Apple MacBook...,$1260.13
Dell Latitude...,$1271.06
Hewlett Packar...,$1273.11
Dell XPS 13,$1281.99
Toshiba Porteg...,$1294.74
MSI GL62VR 7RF...,$1299
Dell Latitude...,$1310.39
ThinkPad X240,$1311.99
Hewlett Packar...,$1326.83
Apple MacBook...,$1333
Dell Latitude...,$1337.28
Dell Latitude...,$1338.37
Dell Latitude...,$1341.22
Apple MacBook...,$1347.78
Lenovo ThinkPa...,$1349.23
Lenovo ThinkPa...,$1362.24
Toshiba Porteg...,$1366.32
Asus ASUSPRO B...,$1381.13
Lenovo Legion...,$1399
Asus ROG Strix...,$1399
Asus ROG Strix...,$1769
Asus ROG Strix...,$1769
Asus ROG Strix...,$1799
Asus VivoBook...,$295.99
Prestigio Smar...,$299
Prestigio Smar...,$299
Aspire E1-510,$306.99
Lenovo V110-15...,$321.94
Lenovo V110-15...,$356.49
Hewlett Packar...,$364.46
Acer Aspire 3...,$372.7
Acer Aspire A3...,$379.94
Acer Aspire ES...,$379.95
Acer Aspire 3...,$391.48
Acer Aspire 3...,$393.88
Asus VivoBook...,$399
Asus VivoBook...,$399.99
Lenovo ThinkPa...,$404.23
Acer Aspire 3...,$408.98
Lenovo V110-15...,$409.63
Acer Aspire ES...,$410.46
Asus VivoBook...,$410.66
Packard 255 G2,$416.99
Asus EeeBook R...,$433.3
Acer Aspire 3...,$436.29
Acer Aspire ES...,$436.29
Acer Extensa 1...,$439.73
Acer Aspire ES...,$454.62
Lenovo V110-15...,$454.73
Acer Aspire A3...,$457.38
Lenovo V110-15...,$465.95
Asus VivoBook...,$468.56
Acer Aspire ES...,$469.1
Lenovo V510 Bl...,$484.23
Acer Aspire ES...,$485.9
Lenovo V510 Bl...,$487.8
Acer Swift 1 S...,$488.64
Dell Vostro 15,$488.78
Acer Aspire 3...,$494.71
Dell Vostro 15...,$497.17
Lenovo V510 Bl...,$498.23
HP 250 G3,$520.99
Acer Spin 5,$564.98
HP 350 G1,$577.99
Aspire E1-572G,$581.99
Pavilion,$609.99
Acer Aspire A5...,$679
Dell Inspiron...,$679
Asus VivoBook...,$729
ProBook,$739.99
Inspiron 15,$745.99
Asus ROG STRIX...,$799
Acer Nitro 5 A...,$809
Asus ROG STRIX...,$899
Lenovo ThinkPa...,$999
ThinkPad Yoga,$1033.99
Lenovo ThinkPa...,$1096.02
Dell Inspiron...,$1098.42
MSI GL72M 7RDX,$1099
MSI GL72M 7RDX,$1099
Asus ROG Strix...,$1101.83
Dell Latitude...,$1102.66
Dell Latitude...,$1110.14
Lenovo Legion...,$1112.91
Toshiba Porteg...,$1114.55
Acer Predator...,$1123.87
Acer Aspire 7...,$1123.87
Dell Inspiron...,$1124.2
Dell Latitude...,$1133.82
Lenovo Legion...,$1133.91
Asus AsusPro A...,$1139.54
Acer Nitro 5 A...,$1140.62
Dell Latitude...,$1143.4
Dell Inspiron...,$1144.2
Dell Latitude...,$1144.4
Lenovo Legion...,$1149
MSI GP62M 7RDX...,$1149
Lenovo Yoga 72...,$1149.73
Toshiba Porteg...,$1154.04
Acer TravelMat...,$1170.1
Dell Latitude...,$1178.19
ThinkPad T540p,$1178.99
MSI GS63 7RD S...,$1179
Dell Latitude...,$1187.88
Acer Predator...,$1187.98
MSI GL62M 7REX,$1199
MSI GL62M 7REX...,$1199
Lenovo Yoga 91...,$1199.73
Toshiba Porteg...,$1203.41
Lenovo IdeaPad...,$1212.16
Acer Predator...,$1221.58
ThinkPad Yoga,$1223.99
Asus VivoBook...,$1235.49
Dell Latitude...,$1238.37
Asus ZenBook U...,$1239.2
ThinkPad X230,$1244.99
Asus ROG Strix...,$1259
Apple MacBook...,$1260.13
Dell Latitude...,$1271.06
Hewlett Packar...,$1273.11
Dell XPS 13,$1281.99
Toshiba Porteg...,$1294.74
MSI GL62VR 7RF...,$1299
Dell Latitude...,$1310.39
ThinkPad X240,$1311.99
Hewlett Packar...,$1326.83
Apple MacBook...,$1333
Dell Latitude...,$1337.28
Dell Latitude...,$1338.37
Dell Latitude...,$1341.22
Apple MacBook...,$1347.78
Lenovo ThinkPa...,$1349.23
Lenovo ThinkPa...,$1362.24
Toshiba Porteg...,$1366.32
Asus ASUSPRO B...,$1381.13
Lenovo Legion...,$1399
Asus ROG Strix...,$1399
Asus ROG Strix...,$1769
Asus ROG Strix...,$1769
Asus ROG Strix...,$1799
